months_as_customer,age,policy_state,policy_csl,policy_deductible,policy_annual_premium,education_level,occupation,incident_type,collision_type,incident_severity,authorities_contacted,auto_make,auto_year,total_claim_amount,vehicle_age,claim_ratio,fraud_reported
422,57,IN,500/1000,1000,1996,Masters,tech-support,Single Vehicle Collision,Rear Collision,Major Damage,Fire,Honda,2016,193207,8,96.79709418837675,1
580,50,IN,100/300,2000,1718,High School,tech-support,Vehicle Theft,Side Collision,Major Damage,Ambulance,Honda,2008,117381,16,68.32421420256112,1
438,25,IL,500/1000,1000,1297,High School,exec-managerial,Single Vehicle Collision,Front Collision,Minor Damage,None,Ford,1998,103946,26,80.14340786430223,1
172,45,IN,100/300,1000,2646,High School,tech-support,Single Vehicle Collision,Front Collision,Major Damage,Police,Ford,1997,198307,27,74.94595616024188,1
161,20,IN,100/300,1000,2258,College,sales,Vehicle Theft,Rear Collision,Major Damage,None,Ford,2016,19070,8,8.445527015057573,0
386,43,OH,100/300,500,745,Masters,tech-support,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,Honda,2019,11647,5,15.633557046979865,0
36,62,OH,250/500,1000,1471,Masters,exec-managerial,Vehicle Theft,Rear Collision,Major Damage,None,Ford,2016,119834,8,81.46430999320191,1
125,39,IN,250/500,1000,2852,College,sales,Vehicle Theft,Rear Collision,Total Loss,None,Toyota,1995,151580,29,53.14866760168303,0
103,21,IN,100/300,1000,546,Masters,exec-managerial,Single Vehicle Collision,Rear Collision,Major Damage,Fire,Ford,2011,74847,13,137.08241758241758,1
346,54,IN,100/300,1000,1650,High School,tech-support,Single Vehicle Collision,Rear Collision,Major Damage,Police,Ford,1996,178247,28,108.02848484848485,1
488,62,OH,100/300,500,1203,Masters,tech-support,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,Honda,2010,70042,14,58.22277639235245,1
220,22,IL,100/300,1000,2273,College,tech-support,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,Toyota,1999,27646,25,12.162780466344039,0
100,51,IL,250/500,1000,2989,High School,tech-support,Single Vehicle Collision,Side Collision,Major Damage,Police,Ford,2014,150143,10,50.231850117096016,1
545,50,OH,500/1000,2000,2136,Masters,tech-support,Single Vehicle Collision,Rear Collision,Total Loss,None,Toyota,2007,39494,17,18.489700374531836,1
35,40,OH,250/500,500,2125,College,sales,Vehicle Theft,Front Collision,Total Loss,None,Honda,2015,39513,9,18.59435294117647,0
420,42,OH,100/300,500,1175,College,tech-support,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,Honda,2011,197582,13,168.1548936170213,0
37,29,OH,500/1000,500,2826,High School,exec-managerial,Single Vehicle Collision,Rear Collision,Minor Damage,Police,Honda,2014,179031,10,63.35138004246284,1
19,66,OH,100/300,2000,575,High School,exec-managerial,Multi-vehicle Collision,Side Collision,Total Loss,Fire,Ford,2010,87900,14,152.8695652173913,1
469,53,OH,500/1000,500,1562,High School,tech-support,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,Ford,2020,10348,4,6.6248399487836105,0
588,26,IN,250/500,500,2042,College,tech-support,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,Honda,1996,89092,28,43.62977473065622,0
496,62,OH,250/500,500,1010,Masters,tech-support,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,Toyota,2006,27790,18,27.514851485148515,0
39,79,IL,100/300,500,1253,College,sales,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,Toyota,1997,81219,27,64.8196328810854,1
369,42,OH,250/500,500,633,College,tech-support,Single Vehicle Collision,Front Collision,Total Loss,Police,Honda,2015,193714,9,306.0252764612954,1
532,74,IN,500/1000,500,2049,Masters,exec-managerial,Single Vehicle Collision,Front Collision,Major Damage,Fire,Ford,2010,173502,14,84.67642752562226,1
358,29,OH,250/500,1000,1039,High School,tech-support,Vehicle Theft,Rear Collision,Total Loss,Police,Toyota,1995,56284,29,54.171318575553414,1
558,52,OH,250/500,1000,755,High School,exec-managerial,Single Vehicle Collision,Rear Collision,Major Damage,None,Honda,2012,57570,12,76.25165562913908,1
374,18,IN,500/1000,500,2302,High School,sales,Vehicle Theft,Front Collision,Major Damage,Ambulance,Ford,2011,47540,13,20.65160729800174,1
511,18,OH,500/1000,1000,975,High School,tech-support,Vehicle Theft,Front Collision,Major Damage,Ambulance,Toyota,2017,24524,7,25.15282051282051,0
83,34,OH,250/500,500,2401,High School,exec-managerial,Single Vehicle Collision,Front Collision,Major Damage,Police,Toyota,2002,109319,22,45.53061224489796,1
551,43,IN,250/500,1000,2665,Masters,exec-managerial,Multi-vehicle Collision,Front Collision,Major Damage,None,Toyota,2021,174880,3,65.62101313320825,1
207,54,OH,250/500,1000,2622,Masters,exec-managerial,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,Honda,2012,139013,12,53.01792524790236,1
308,74,IN,100/300,2000,1519,College,exec-managerial,Multi-vehicle Collision,Side Collision,Minor Damage,Police,Toyota,1998,56479,26,37.18169848584595,0
69,51,IN,100/300,1000,704,College,exec-managerial,Vehicle Theft,Side Collision,Total Loss,Ambulance,Toyota,2017,138162,7,196.2528409090909,1
360,21,OH,500/1000,2000,1166,High School,sales,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,Toyota,1999,112195,25,96.2221269296741,1
513,22,OH,250/500,1000,2468,College,sales,Single Vehicle Collision,Side Collision,Minor Damage,Fire,Toyota,2009,137312,15,55.63695299837926,1
107,65,OH,100/300,1000,1780,High School,exec-managerial,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,Honda,2008,128449,16,72.1623595505618,1
386,62,IN,250/500,2000,1835,Masters,exec-managerial,Vehicle Theft,Side Collision,Total Loss,Fire,Ford,2009,68067,15,37.09373297002725,1
15,42,IL,100/300,1000,1562,High School,tech-support,Vehicle Theft,Rear Collision,Major Damage,Fire,Toyota,2011,135668,13,86.85531370038413,1
67,58,OH,250/500,2000,2775,Masters,sales,Multi-vehicle Collision,Side Collision,Minor Damage,None,Ford,2004,101776,20,36.67603603603604,0
320,51,IL,500/1000,500,2489,High School,tech-support,Single Vehicle Collision,Front Collision,Major Damage,Police,Honda,2000,73303,24,29.450783447167538,1
350,48,IL,100/300,2000,742,Masters,tech-support,Vehicle Theft,Rear Collision,Major Damage,None,Ford,1998,132189,26,178.1522911051213,1
574,74,IN,500/1000,2000,1915,College,exec-managerial,Single Vehicle Collision,Front Collision,Major Damage,Fire,Honda,1998,92922,26,48.523237597911226,0
140,64,OH,250/500,1000,819,College,tech-support,Multi-vehicle Collision,Side Collision,Total Loss,None,Toyota,2005,48362,19,59.05006105006105,1
10,22,IL,250/500,1000,2560,College,tech-support,Vehicle Theft,Front Collision,Minor Damage,Police,Toyota,2005,94070,19,36.74609375,1
95,66,OH,250/500,1000,833,High School,exec-managerial,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,Toyota,2002,168231,22,201.9579831932773,1
229,31,IN,500/1000,500,2552,Masters,exec-managerial,Multi-vehicle Collision,Rear Collision,Major Damage,None,Toyota,2007,44303,17,17.360109717868337,0
422,50,IL,500/1000,2000,1492,High School,tech-support,Single Vehicle Collision,Side Collision,Total Loss,Fire,Honda,2015,168527,9,112.95375335120643,1
198,23,IL,500/1000,2000,1971,Masters,exec-managerial,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,Ford,1998,52356,26,26.56316590563166,1
411,72,OH,250/500,1000,2357,College,tech-support,Vehicle Theft,Rear Collision,Minor Damage,Fire,Honda,2007,155782,17,66.09333899024183,1
15,46,OH,100/300,2000,2871,High School,sales,Vehicle Theft,Side Collision,Total Loss,Ambulance,Honda,2005,131330,19,45.74364332985023,1
550,23,IL,500/1000,1000,2849,Masters,sales,Single Vehicle Collision,Rear Collision,Major Damage,Police,Toyota,2009,92751,15,32.555633555633555,0
356,65,OH,100/300,2000,1103,Masters,sales,Single Vehicle Collision,Rear Collision,Total Loss,Police,Honda,2002,135869,22,123.18132366273798,1
405,43,IN,250/500,2000,2354,College,exec-managerial,Vehicle Theft,Side Collision,Minor Damage,Ambulance,Toyota,2015,58545,9,24.870433305012746,1
575,69,OH,250/500,2000,885,Masters,sales,Vehicle Theft,Rear Collision,Total Loss,Police,Ford,2021,128738,3,145.46666666666667,1
180,23,OH,100/300,500,784,Masters,exec-managerial,Multi-vehicle Collision,Rear Collision,Major Damage,Police,Toyota,2001,71480,23,91.1734693877551,1
342,45,IL,100/300,500,826,High School,tech-support,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,Ford,2023,160024,1,193.73365617433413,1
424,36,IN,100/300,1000,1894,Masters,sales,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,Honda,2000,157594,24,83.20696937697994,1
55,56,IL,250/500,1000,2401,College,tech-support,Vehicle Theft,Side Collision,Major Damage,Ambulance,Toyota,2002,111904,22,46.607246980424826,1
443,78,IN,100/300,2000,1787,College,exec-managerial,Multi-vehicle Collision,Rear Collision,Total Loss,None,Toyota,2016,122300,8,68.43872411863458,1
7,27,IL,100/300,2000,646,High School,exec-managerial,Single Vehicle Collision,Rear Collision,Major Damage,Police,Ford,1999,88955,25,137.70123839009287,1
471,72,OH,100/300,1000,1779,College,tech-support,Multi-vehicle Collision,Front Collision,Total Loss,None,Honda,2016,149843,8,84.22878021360314,0
59,63,IL,100/300,1000,1020,College,tech-support,Single Vehicle Collision,Side Collision,Minor Damage,Fire,Honda,2005,52693,19,51.659803921568624,1
109,51,IL,100/300,2000,2675,High School,sales,Single Vehicle Collision,Rear Collision,Major Damage,Police,Toyota,2019,122829,5,45.917383177570095,1
342,38,IL,100/300,2000,1145,Masters,sales,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,Honda,2007,143736,17,125.53362445414847,1
558,19,IN,500/1000,500,1192,Masters,sales,Single Vehicle Collision,Front Collision,Total Loss,None,Ford,1998,156834,26,131.5721476510067,1
98,72,IL,250/500,1000,2616,High School,sales,Vehicle Theft,Side Collision,Total Loss,None,Ford,2011,122789,13,46.93769113149847,1
201,43,IN,100/300,500,2843,High School,tech-support,Single Vehicle Collision,Front Collision,Total Loss,None,Honda,2019,14350,5,5.047485051002462,1
108,61,IL,250/500,1000,2822,High School,exec-managerial,Vehicle Theft,Front Collision,Minor Damage,Police,Honda,2019,95006,5,33.66619418851878,1
592,41,IL,500/1000,500,2250,High School,sales,Multi-vehicle Collision,Front Collision,Major Damage,Police,Ford,2021,91600,3,40.71111111111111,1
16,24,OH,500/1000,1000,749,Masters,sales,Vehicle Theft,Front Collision,Total Loss,Police,Ford,2010,42786,14,57.12416555407209,1
372,56,IL,250/500,2000,1114,High School,sales,Vehicle Theft,Side Collision,Minor Damage,Fire,Ford,1999,135055,25,121.23429084380611,1
39,32,OH,100/300,1000,1420,High School,sales,Single Vehicle Collision,Front Collision,Major Damage,None,Honda,1996,124618,28,87.75915492957746,1
141,35,IL,500/1000,2000,1313,High School,sales,Single Vehicle Collision,Front Collision,Major Damage,Police,Toyota,2010,86431,14,65.82711348057883,1
359,37,OH,100/300,1000,2550,High School,sales,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,Toyota,2019,189847,5,74.44980392156863,0
585,32,OH,100/300,2000,2541,High School,tech-support,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,Ford,2008,127295,16,50.09641873278237,1
153,24,IL,100/300,2000,1833,High School,exec-managerial,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,Honda,2019,117953,5,64.34969994544463,0
517,22,IN,500/1000,2000,2044,Masters,sales,Single Vehicle Collision,Front Collision,Total Loss,Fire,Ford,2012,157497,12,77.05332681017613,1
160,52,IN,100/300,500,2530,High School,tech-support,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,Toyota,2018,155946,6,61.63873517786561,1
195,42,IN,250/500,500,1986,High School,tech-support,Vehicle Theft,Side Collision,Major Damage,None,Ford,2000,153826,24,77.4551863041289,1
454,54,OH,100/300,500,1092,College,tech-support,Multi-vehicle Collision,Front Collision,Total Loss,Fire,Ford,2018,12303,6,11.266483516483516,0
289,23,IL,100/300,2000,2204,High School,exec-managerial,Single Vehicle Collision,Front Collision,Minor Damage,Fire,Ford,2021,134541,3,61.044010889292196,0
557,75,OH,500/1000,2000,925,College,exec-managerial,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,Honda,1998,127209,26,137.52324324324326,1
295,19,OH,250/500,2000,1636,High School,tech-support,Vehicle Theft,Rear Collision,Minor Damage,Ambulance,Honda,2013,179589,11,109.77322738386309,1
412,77,IL,250/500,500,1488,College,sales,Vehicle Theft,Front Collision,Major Damage,Police,Honda,2016,21953,8,14.753360215053764,0
270,64,OH,500/1000,2000,1447,High School,exec-managerial,Single Vehicle Collision,Side Collision,Minor Damage,Fire,Ford,2009,94106,15,65.03524533517623,1
482,63,IN,100/300,500,2944,High School,exec-managerial,Vehicle Theft,Side Collision,Minor Damage,Police,Ford,2014,183047,10,62.17629076086956,0
22,28,IL,500/1000,500,1488,High School,exec-managerial,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,Toyota,1999,129386,25,86.95295698924731,1
527,51,OH,500/1000,500,1292,College,exec-managerial,Vehicle Theft,Rear Collision,Minor Damage,Police,Toyota,2015,140783,9,108.96517027863777,0
199,20,OH,100/300,1000,1026,High School,sales,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,Toyota,2000,66455,24,64.770955165692,1
501,70,IN,500/1000,500,571,High School,sales,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,Ford,2000,158215,24,277.08406304728544,1
102,58,IL,250/500,2000,1611,High School,tech-support,Single Vehicle Collision,Rear Collision,Total Loss,None,Honda,2016,97347,8,60.42644320297951,1
242,77,OH,250/500,500,2268,High School,sales,Single Vehicle Collision,Front Collision,Major Damage,Fire,Ford,1996,155470,28,68.54938271604938,1
143,51,IN,500/1000,500,2395,Masters,tech-support,Vehicle Theft,Side Collision,Major Damage,Police,Honda,2003,131406,21,54.86680584551148,1
264,25,IN,250/500,1000,610,Masters,exec-managerial,Vehicle Theft,Side Collision,Major Damage,Fire,Honda,2020,34662,4,56.82295081967213,1
14,28,IN,250/500,2000,2060,High School,exec-managerial,Multi-vehicle Collision,Side Collision,Total Loss,Fire,Toyota,2002,29380,22,14.262135922330097,0
307,61,IN,250/500,1000,1161,High School,tech-support,Vehicle Theft,Side Collision,Major Damage,Ambulance,Ford,2023,17309,1,14.90869939707149,0
332,66,IN,100/300,2000,2477,High School,tech-support,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,Toyota,1998,157921,26,63.754945498587,1
578,32,IN,250/500,2000,1254,Masters,sales,Multi-vehicle Collision,Front Collision,Total Loss,Police,Honda,2002,85878,22,68.48325358851675,1
100,65,IN,500/1000,1000,1439,College,sales,Multi-vehicle Collision,Side Collision,Minor Damage,Police,Honda,2007,136720,17,95.01042390548993,0
14,73,IL,100/300,1000,1337,High School,exec-managerial,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,Toyota,1999,145832,25,109.07404637247569,1
301,40,IL,500/1000,2000,1129,College,sales,Single Vehicle Collision,Rear Collision,Major Damage,Police,Toyota,1999,80530,25,71.32860938883968,1
284,74,IL,100/300,2000,2520,High School,tech-support,Single Vehicle Collision,Side Collision,Total Loss,Fire,Ford,2023,35707,1,14.169444444444444,1
511,54,IN,100/300,500,2666,Masters,sales,Single Vehicle Collision,Front Collision,Total Loss,Police,Toyota,2011,65178,13,24.447861965491374,1
242,41,IL,500/1000,1000,716,College,tech-support,Single Vehicle Collision,Side Collision,Total Loss,None,Ford,2005,69785,19,97.46508379888269,1
151,79,OH,250/500,1000,1391,Masters,sales,Single Vehicle Collision,Front Collision,Total Loss,None,Toyota,2000,169452,24,121.82027318475916,1
193,72,IL,250/500,2000,2493,College,sales,Multi-vehicle Collision,Front Collision,Major Damage,None,Ford,2002,111448,22,44.70437224227838,0
1,36,IL,250/500,500,1827,High School,tech-support,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,Honda,2003,192648,21,105.44499178981937,1
585,70,OH,500/1000,500,1847,College,tech-support,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,Honda,1996,74297,28,40.22577152138603,1
365,28,OH,250/500,1000,954,High School,tech-support,Vehicle Theft,Front Collision,Major Damage,Ambulance,Ford,2015,36643,9,38.409853249475894,0
497,52,IN,250/500,2000,1461,College,tech-support,Vehicle Theft,Front Collision,Major Damage,None,Honda,2000,32348,24,22.140999315537304,1
133,51,OH,500/1000,2000,542,Masters,sales,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,Toyota,2015,165246,9,304.8819188191882,0
117,77,IL,100/300,2000,550,Masters,tech-support,Single Vehicle Collision,Rear Collision,Total Loss,Fire,Honda,2023,182187,1,331.2490909090909,1
539,46,IL,500/1000,1000,1943,College,sales,Multi-vehicle Collision,Front Collision,Minor Damage,None,Honda,2019,87365,5,44.96397323726197,0
586,56,OH,500/1000,2000,2859,High School,sales,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,Honda,1995,153747,29,53.776495278069255,1
141,72,IN,250/500,500,1743,High School,sales,Single Vehicle Collision,Side Collision,Major Damage,None,Honda,2019,76388,5,43.82558806655192,0
49,43,IL,100/300,1000,645,Masters,sales,Single Vehicle Collision,Side Collision,Major Damage,Police,Ford,2011,18633,13,28.888372093023257,0
432,54,IL,500/1000,2000,2046,College,tech-support,Multi-vehicle Collision,Front Collision,Minor Damage,Police,Honda,2019,18727,5,9.152981427174975,0
554,71,OH,500/1000,500,1498,College,exec-managerial,Multi-vehicle Collision,Rear Collision,Major Damage,None,Ford,2007,55253,17,36.8845126835781,1
73,25,OH,500/1000,1000,2972,Masters,tech-support,Single Vehicle Collision,Rear Collision,Minor Damage,None,Ford,2015,126703,9,42.632234185733516,0
381,75,IL,250/500,1000,1653,Masters,sales,Multi-vehicle Collision,Front Collision,Total Loss,Fire,Ford,2014,98543,10,59.61464004839686,1
453,30,OH,500/1000,2000,1516,Masters,sales,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,Toyota,2010,152175,14,100.37928759894459,0
237,40,IL,250/500,500,2503,High School,tech-support,Multi-vehicle Collision,Front Collision,Major Damage,Fire,Honda,2002,92878,22,37.10667199360767,1
460,55,IN,100/300,1000,980,Masters,sales,Single Vehicle Collision,Rear Collision,Minor Damage,Police,Honda,2021,179936,3,183.60816326530613,1
180,79,IL,250/500,1000,810,College,exec-managerial,Multi-vehicle Collision,Side Collision,Total Loss,Fire,Toyota,2014,62929,10,77.69012345679012,1
594,62,IL,250/500,1000,2193,College,sales,Vehicle Theft,Side Collision,Major Damage,Police,Ford,2015,25226,9,11.50296397628819,0
466,31,IN,250/500,500,2485,High School,tech-support,Multi-vehicle Collision,Front Collision,Total Loss,Fire,Toyota,2008,32055,16,12.899396378269618,0
483,58,IN,100/300,500,1463,High School,exec-managerial,Single Vehicle Collision,Front Collision,Total Loss,Fire,Honda,2023,56099,1,38.345181134654815,1
43,79,IN,500/1000,2000,2834,Masters,tech-support,Vehicle Theft,Rear Collision,Major Damage,Police,Honda,2005,181913,19,64.1894848270995,0
457,40,IL,100/300,2000,648,High School,sales,Multi-vehicle Collision,Side Collision,Total Loss,None,Toyota,1998,47851,26,73.84413580246914,1
359,77,OH,250/500,2000,2008,Masters,sales,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,Honda,2008,32174,16,16.022908366533866,0
510,72,IN,250/500,2000,2952,College,sales,Vehicle Theft,Front Collision,Major Damage,Ambulance,Honda,2018,137614,6,46.61720867208672,1
242,62,OH,100/300,1000,2520,High School,tech-support,Vehicle Theft,Front Collision,Total Loss,Ambulance,Toyota,2014,121575,10,48.24404761904762,0
546,69,IN,500/1000,500,1959,High School,sales,Multi-vehicle Collision,Front Collision,Major Damage,Police,Toyota,2003,162983,21,83.19703930576824,1
129,19,OH,100/300,1000,741,College,tech-support,Vehicle Theft,Side Collision,Major Damage,None,Ford,2016,52399,8,70.71390013495277,0
173,36,OH,100/300,2000,2648,High School,tech-support,Vehicle Theft,Side Collision,Minor Damage,Police,Ford,2018,90570,6,34.203172205438065,0
277,57,IN,500/1000,1000,2174,Masters,exec-managerial,Vehicle Theft,Side Collision,Total Loss,Ambulance,Honda,1999,105797,25,48.664673413063475,1
138,55,IL,100/300,2000,859,High School,tech-support,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,Toyota,1998,98661,26,114.85564610011642,1
217,75,IL,250/500,2000,869,College,tech-support,Vehicle Theft,Rear Collision,Major Damage,Police,Toyota,2010,10503,14,12.086306098964327,0
522,32,OH,250/500,2000,2188,Masters,sales,Multi-vehicle Collision,Front Collision,Major Damage,Fire,Honda,2014,178876,10,81.75319926873857,1
113,73,OH,500/1000,1000,2067,College,exec-managerial,Vehicle Theft,Front Collision,Minor Damage,Ambulance,Honda,2015,160116,9,77.46298984034833,0
302,57,IN,500/1000,2000,2783,Masters,sales,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,Toyota,2007,86457,17,31.06611570247934,0
436,44,IN,500/1000,2000,1930,High School,sales,Vehicle Theft,Front Collision,Minor Damage,Police,Ford,2016,84986,8,44.03419689119171,1
108,64,OH,100/300,2000,2683,College,sales,Single Vehicle Collision,Front Collision,Total Loss,Police,Ford,2004,123721,20,46.112933283637716,1
302,56,IL,500/1000,1000,2659,High School,tech-support,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,Honda,2006,27832,18,10.467092892064686,0
437,74,IL,500/1000,2000,1514,College,exec-managerial,Single Vehicle Collision,Rear Collision,Total Loss,Police,Honda,2018,198621,6,131.1895640686922,1
469,71,IL,100/300,1000,2585,College,tech-support,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,Toyota,2008,70122,16,27.126499032882013,0
55,69,IN,250/500,1000,1093,Masters,exec-managerial,Vehicle Theft,Front Collision,Total Loss,Fire,Ford,2016,181887,8,166.41079597438244,0
117,48,IL,100/300,1000,682,High School,exec-managerial,Single Vehicle Collision,Rear Collision,Total Loss,None,Toyota,2021,157123,3,230.38563049853371,0
118,62,OH,100/300,1000,1783,Masters,exec-managerial,Vehicle Theft,Rear Collision,Total Loss,Fire,Ford,2001,146544,23,82.18956814357824,1
500,78,IN,250/500,2000,1472,Masters,tech-support,Multi-vehicle Collision,Rear Collision,Major Damage,Police,Honda,2011,84820,13,57.62228260869565,1
547,63,IN,500/1000,500,1872,High School,tech-support,Single Vehicle Collision,Rear Collision,Minor Damage,None,Honda,2020,151787,4,81.08279914529915,0
313,53,IN,100/300,1000,1185,High School,exec-managerial,Single Vehicle Collision,Front Collision,Major Damage,None,Honda,2016,104302,8,88.01856540084388,0
400,71,IL,250/500,500,704,College,tech-support,Single Vehicle Collision,Side Collision,Major Damage,Fire,Ford,2019,147964,5,210.17613636363637,1
519,23,IL,500/1000,1000,1171,Masters,exec-managerial,Vehicle Theft,Front Collision,Major Damage,Fire,Honda,2019,152716,5,130.41502988898378,1
131,40,IN,100/300,500,2438,Masters,tech-support,Single Vehicle Collision,Front Collision,Minor Damage,Police,Toyota,2012,161372,12,66.19031993437244,1
327,39,IL,100/300,500,2187,High School,tech-support,Multi-vehicle Collision,Rear Collision,Total Loss,Police,Ford,2016,46232,8,21.139460448102422,1
198,51,OH,250/500,500,2037,College,tech-support,Multi-vehicle Collision,Rear Collision,Major Damage,None,Ford,2023,70286,1,34.504663721158565,1
294,77,IL,250/500,2000,2227,Masters,exec-managerial,Single Vehicle Collision,Side Collision,Minor Damage,None,Honda,1998,162645,26,73.033228558599,1
213,32,IN,250/500,2000,2605,College,tech-support,Vehicle Theft,Rear Collision,Minor Damage,None,Honda,1997,175023,27,67.18733205374281,1
227,23,IL,500/1000,500,2926,College,exec-managerial,Vehicle Theft,Front Collision,Total Loss,Ambulance,Honda,2002,123775,22,42.30177717019822,1
485,38,IL,100/300,2000,2467,College,sales,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,Ford,2007,66794,17,27.074989866234294,1
486,50,OH,500/1000,500,2415,Masters,tech-support,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,Ford,2003,63987,21,26.495652173913044,1
129,62,IL,100/300,500,1169,High School,sales,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,Ford,2021,140076,3,119.82549187339606,1
382,79,OH,500/1000,500,764,College,sales,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,Honda,2009,158547,15,207.52225130890054,1
131,29,IN,250/500,500,2703,College,sales,Single Vehicle Collision,Front Collision,Total Loss,None,Honda,2003,145302,21,53.755826859045506,1
279,65,IN,100/300,500,2174,College,exec-managerial,Vehicle Theft,Side Collision,Minor Damage,None,Toyota,2010,88969,14,40.92410303587857,0
156,64,IL,250/500,500,2183,High School,exec-managerial,Vehicle Theft,Side Collision,Total Loss,None,Honda,2019,64278,5,29.444800732936326,1
227,74,OH,100/300,1000,2519,High School,exec-managerial,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,Honda,2013,127688,11,50.68995633187773,1
